,fecha,hora_declarada,ruta,operador,tipo_aeronave,total_abordo,pasajeros_abordo,tripulacion_abordo,total_fatalidades,pasajeros_fatalidades,tripulacion_fatalidades,tierra_fatalidades
2383,1969-04-02,1608,"Zawoja, Poland",LOT Polish Airlines,Antonov AN-24V,53,48,5,53,48,5,0
2384,1969-04-02,1240,"Near Quang Tri, South Vietnam",Military - U.S. Army,Boeing Vertol CH47C (helicopter),78,73,5,24,23,1,0
2385,1969-04-02,1250,"Off New Providence Island, Bahamas",Islands of the Bahamas Inc,Curtiss C-46F,2,0,2,2,0,2,0
2386,1969-04-07,,"Sept-Îles, Quebec, Canada",Air Canada,Vickers 757 Viscount,21,17,4,1,1,0,0
2387,1969-04-15,1350,"Off Chongjin, North Korea",Military - U.S. Navy,Lockheed EC-121M,31,25,6,31,25,6,0
2388,1969-04-16,820,"Kinshasa, Zaire",Wigmo,Curtiss C-46,45,42,3,45,42,3,0
2389,1969-04-21,1459,"Khulna, East Pakistan",Indian Airlines,Fokker F-27 Friendship 100,44,40,4,44,40,4,0
2390,1969-04-24,,"Near Takoradi, Ghana",Ghana Airways,Douglas DC-3,33,30,3,1,1,0,0
2391,1969-05-06,1320,"Near Chon Thanh, South Vietnam",Military - U.S. Army,Boeing Vertol CH47A (helicopter),74,69,5,30,29,1,0
2392,1969-05-07,1245,"Medford, New Jersey",Flying W Airways,Curtiss C-46F,2,0,2,2,0,2,0
2393,1969-05-23,,"Near Lashio, Burma",Union of Burma Airways,Douglas C-47,6,4,2,6,4,2,0
2394,1969-05-25,952,"Reggio di Calabria, Italy",Aero Transporti Italiani,Fokker F-27 Friendship 600,36,31,5,1,1,0,0
2395,1969-06-04,842,"Near Salinas Victoria, Nuevo Leon, Mexico",Compania Mexicana de Aviacion,Boeing B-727-64,79,72,7,79,72,7,0
2396,1969-06-05,,"Off Andreanof Islands, Alaska",Military - U.S. Air Force,Boeing RC-135E,19,0,19,19,0,19,0
2397,1969-06-23,1452,"Near Poroslitsy, Russia",Aeroflot,Ilyushin IL-14M / Antonov An-12BP,120,110,10,120,110,10,0
